Step= 0
(/2  (+  (sin  (/2  (+  (cos  X1) (/2  (/2  (-  (*  (/2  (sin  X1)) (^2  (^2  X3))) (+  (-  (cos  X2) (-  X1 X5)) (-  (^2  X4) (-  X5 X1))))))))) (/2  (^2  (/2  (+  X3 X1))))))
Best solution:  [5, 18, 36, 37, 6]
0 220.0  =>  261.104714419
1 252.0  =>  247.435959018
2 347.0  =>  233.236754732
3 316.0  =>  207.819988901
4 308.0  =>  236.968402348
5 275.0  =>  225.112516373
6 283.0  =>  210.716238094
7 191.0  =>  354.792721316
8 197.0  =>  318.013091982
9 263.0  =>  352.946883241
10 250.0  =>  332.757432921
11 297.0  =>  262.913410778
12 285.0  =>  315.352937971
13 305.0  =>  292.81823333
14 208.0  =>  400.243516251
15 296.0  =>  233.757264932
16 244.0  =>  167.416657303
17 316.0  =>  216.784290839
18 291.0  =>  266.53349552
19 288.0  =>  258.563258476
20 339.0  =>  231.287360343
21 324.0  =>  274.965085431
22 305.0  =>  310.305427865
23 308.0  =>  270.069630965
24 305.0  =>  244.952444954
25 352.0  =>  260.614458348
26 119.0  =>  272.89956662
27 219.0  =>  318.757302347
28 316.0  =>  228.811174174
29 225.0  =>  253.269804681
30 261.0  =>  85.755739621
31 194.0  =>  64.8553130338
32 225.0  =>  179.729005979
33 327.0  =>  186.901025811
34 275.0  =>  205.566301426
35 322.0  =>  236.608659331
36 327.0  =>  321.848796028
37 297.0  =>  314.967198159
38 239.0  =>  214.021158261
39 325.0  =>  188.031381374
40 241.0  =>  179.027202356
41 252.0  =>  217.546473405
42 264.0  =>  171.432887644
43 238.0  =>  231.62580725
44 291.0  =>  302.737721752
45 233.0  =>  373.58048712
46 224.0  =>  215.375038431
47 333.0  =>  257.207847469
48 355.0  =>  198.198345635
49 255.0  =>  134.989942779
(31.5481885271534, 29.587678781988384)
Step= 1
(-  (+  (-  (^2  (sin  (/2  X5))) (-  (sin  (/2  X1)) (-  (+  X5 X4) (sin  X1)))) (sin  (-  (sin  (-  X3 X1)) (^2  (sin  X1))))) (^2  (sin  (*  (cos  (/2  X2)) (/2  (+  X4 X1))))))
Best solution:  [0, 39, 31, 42, 45]
0 220.0  =>  181.194484869
1 252.0  =>  163.364691213
2 347.0  =>  231.488968242
3 316.0  =>  212.558471193
4 308.0  =>  260.794782017
5 275.0  =>  202.827414207
6 283.0  =>  236.735936237
7 191.0  =>  132.143712161
8 197.0  =>  191.125173006
9 263.0  =>  217.267611319
10 250.0  =>  267.944103241
11 297.0  =>  219.320674206
12 285.0  =>  230.44656394
13 305.0  =>  228.743362864
14 208.0  =>  123.357988552
15 296.0  =>  233.313595142
16 244.0  =>  166.843774977
17 316.0  =>  241.392598812
18 291.0  =>  159.631669457
19 288.0  =>  248.985862658
20 339.0  =>  155.597772056
21 324.0  =>  222.182993451
22 305.0  =>  232.730570775
23 308.0  =>  252.522025736
24 305.0  =>  195.16115953
25 352.0  =>  233.884649736
26 119.0  =>  102.810978338
27 219.0  =>  209.137611633
28 316.0  =>  232.206187094
29 225.0  =>  175.705368564
30 261.0  =>  226.544872158
31 194.0  =>  117.024447034
32 225.0  =>  180.064786992
33 327.0  =>  252.598449506
34 275.0  =>  244.222191313
35 322.0  =>  225.581799582
36 327.0  =>  255.008131028
37 297.0  =>  253.421626074
38 239.0  =>  212.530086905
39 325.0  =>  215.552405385
40 241.0  =>  194.540412682
41 252.0  =>  213.137023024
42 264.0  =>  285.249537425
43 238.0  =>  167.010498042
44 291.0  =>  263.957257589
45 233.0  =>  187.169910932
46 224.0  =>  229.431627786
47 333.0  =>  213.199643072
48 355.0  =>  300.03404871
49 255.0  =>  216.258718684
(22.547235986524683, 22.66674852563148)
Step= 2
(/2  (+  (+  (+  (sin  (/2  X1)) (sin  (^2  X2))) (-  (+  (-  X4 X3) (*  X4 X4)) (sin  (^2  X3)))) (/2  (-  (-  (*  X1 X3) (/2  X3)) (-  (-  X3 X4) (-  X5 X1))))))
Best solution:  [34, 29, 41, 44, 30]
0 220.0  =>  242.051568789
1 252.0  =>  230.815665867
2 347.0  =>  275.230227545
3 316.0  =>  242.347587108
4 308.0  =>  263.268437772
5 275.0  =>  244.582577847
6 283.0  =>  254.52114654
7 191.0  =>  265.624509423
8 197.0  =>  249.327229106
9 263.0  =>  295.87695655
10 250.0  =>  309.716382195
11 297.0  =>  220.78749461
12 285.0  =>  245.030070716
13 305.0  =>  192.639425862
14 208.0  =>  220.335130126
15 296.0  =>  223.10936503
16 244.0  =>  204.946217087
17 316.0  =>  222.423114342
18 291.0  =>  197.183379505
19 288.0  =>  222.655138381
20 339.0  =>  205.889757594
21 324.0  =>  270.201104881
22 305.0  =>  275.817754992
23 308.0  =>  284.253931128
24 305.0  =>  344.989222891
25 352.0  =>  313.479416885
26 119.0  =>  214.796024504
27 219.0  =>  269.742932126
28 316.0  =>  257.011868771
29 225.0  =>  240.339429022
30 261.0  =>  266.426512343
31 194.0  =>  174.099618693
32 225.0  =>  267.124987126
33 327.0  =>  316.056452662
34 275.0  =>  228.208762135
35 322.0  =>  212.043293896
36 327.0  =>  333.225629145
37 297.0  =>  280.931597316
38 239.0  =>  235.409196501
39 325.0  =>  230.979812148
40 241.0  =>  242.934753423
41 252.0  =>  284.506680856
42 264.0  =>  574.925870329
43 238.0  =>  228.022053636
44 291.0  =>  261.634876565
45 233.0  =>  254.254949803
46 224.0  =>  250.444412774
47 333.0  =>  251.730348294
48 355.0  =>  288.491592173
49 255.0  =>  270.132324126
(20.538864868712331, 19.463022928641706)
Step= 3
(/2  (-  (-  (sin  (-  (-  X2 X2) (-  X5 X1))) (sin  (/2  (-  X1 X1)))) (/2  (+  (-  (/2  X3) (sin  X5)) (-  (cos  X5) (*  X1 X2))))))
Best solution:  [23, 29, 30, 15, 37]
0 220.0  =>  291.129348288
1 252.0  =>  301.558383146
2 347.0  =>  290.092839942
3 316.0  =>  308.320280637
4 308.0  =>  295.640006297
5 275.0  =>  318.774833039
6 283.0  =>  312.580865057
7 191.0  =>  174.6033872
8 197.0  =>  216.262662801
9 263.0  =>  170.467906589
10 250.0  =>  200.810379193
11 297.0  =>  343.636175933
12 285.0  =>  303.082868839
13 305.0  =>  322.343600753
14 208.0  =>  207.379291128
15 296.0  =>  239.01701298
16 244.0  =>  363.42993577
17 316.0  =>  354.811153159
18 291.0  =>  285.208415058
19 288.0  =>  312.620353952
20 339.0  =>  325.289472891
21 324.0  =>  213.631580211
22 305.0  =>  221.065743432
23 308.0  =>  232.800454438
24 305.0  =>  216.602387625
25 352.0  =>  217.272568275
26 119.0  =>  296.964596922
27 219.0  =>  251.498490637
28 316.0  =>  310.994318944
29 225.0  =>  310.87401352
30 261.0  =>  265.308130244
31 194.0  =>  338.490759714
32 225.0  =>  305.739232132
33 327.0  =>  251.979768423
34 275.0  =>  292.209691904
35 322.0  =>  311.013798993
36 327.0  =>  122.053796267
37 297.0  =>  169.32425897
38 239.0  =>  321.991503593
39 325.0  =>  339.310331407
40 241.0  =>  298.115068168
41 252.0  =>  273.540473832
42 264.0  =>  128.863157777
43 238.0  =>  352.536921614
44 291.0  =>  256.118769989
45 233.0  =>  105.107868721
46 224.0  =>  311.081044504
47 333.0  =>  267.302749135
48 355.0  =>  303.36640285
49 255.0  =>  330.1366388
(24.864907101807091, 24.907851668393672)
