Step= 0
(+  (+  (^2  (^2  (cos  (^2  X4)))) (-  (*  (sin  (*  X3 X3)) (*  (cos  X3) (cos  X4))) (-  (cos  (sin  X2)) (+  (+  X1 X5) (/2  X1))))) (/2  (sin  (sin  (+  (cos  X5) (cos  X1))))))
Best solution:  [1, 34, 10, 22, 14, 19, 46, 18, 40, 15, 2, 25, 32, 44, 17, 7, 36, 41, 31, 5, 20, 13, 3, 38, 26]
0 220.0  =>  250.626486022
1 252.0  =>  231.419907098
2 347.0  =>  295.498003632
3 316.0  =>  268.66922884
4 308.0  =>  325.688375419
5 275.0  =>  265.650576445
6 283.0  =>  291.470099904
7 191.0  =>  217.579413662
8 197.0  =>  271.288121301
9 263.0  =>  297.653731483
10 250.0  =>  342.855070447
11 297.0  =>  290.220007499
12 285.0  =>  310.779621356
13 305.0  =>  309.712760897
14 208.0  =>  221.583029245
15 296.0  =>  300.25536384
16 244.0  =>  215.779023125
17 316.0  =>  301.505020515
18 291.0  =>  234.507208507
19 288.0  =>  324.860847031
20 339.0  =>  223.306819948
21 324.0  =>  294.756684095
22 305.0  =>  308.370018414
23 308.0  =>  322.304323675
24 305.0  =>  257.66436513
25 352.0  =>  300.846287244
26 119.0  =>  174.534008935
27 219.0  =>  285.502566854
28 316.0  =>  290.551446581
29 225.0  =>  240.77544198
30 261.0  =>  253.366932863
31 194.0  =>  143.013335416
32 225.0  =>  229.137613546
33 327.0  =>  302.027406272
34 275.0  =>  309.748679805
35 322.0  =>  294.260994073
36 327.0  =>  335.701360863
37 297.0  =>  334.788028429
38 239.0  =>  275.910974416
39 325.0  =>  271.60736966
40 241.0  =>  245.932211691
41 252.0  =>  265.571100094
42 264.0  =>  300.22491495
43 238.0  =>  225.43375089
44 291.0  =>  341.921052814
45 233.0  =>  276.794888658
46 224.0  =>  292.977184382
47 333.0  =>  284.552582842
48 355.0  =>  356.549993111
49 255.0  =>  260.129112171
(10.967220829766202, 12.479103397460921)
Step= 1
(+  (+  (+  (-  (sin  (*  X5 X1)) (+  (-  X2 X5) (-  X4 X4))) (-  (+  (cos  X3) (cos  X3)) (sin  (-  X3 X2)))) (/2  (+  (cos  (cos  X5)) (^2  (cos  X4))))) (+  (/2  (/2  (/2  (sin  X3)))) (+  (/2  (+  (+  X5 X4) (cos  X3))) (/2  (sin  (^2  X3))))))
Best solution:  [27, 45, 4, 47, 21, 20, 43, 12, 29, 38, 33, 14, 13, 19, 11, 25, 42, 10, 32, 31, 22, 3, 6, 36, 30]
0 220.0  =>  237.182573848
1 252.0  =>  211.83195207
2 347.0  =>  311.278871041
3 316.0  =>  275.374710948
4 308.0  =>  355.608919408
5 275.0  =>  266.026031782
6 283.0  =>  313.036099812
7 191.0  =>  178.944760993
8 197.0  =>  265.406355406
9 263.0  =>  302.798875624
10 250.0  =>  377.022200024
11 297.0  =>  296.29242214
12 285.0  =>  324.263892638
13 305.0  =>  311.612902818
14 208.0  =>  169.763959672
15 296.0  =>  323.604157703
16 244.0  =>  202.646558004
17 316.0  =>  326.749706487
18 291.0  =>  211.012574799
19 288.0  =>  345.6417247
20 339.0  =>  195.385929591
21 324.0  =>  304.349159412
22 305.0  =>  319.268863284
23 308.0  =>  345.899752647
24 305.0  =>  260.089705753
25 352.0  =>  320.826543162
26 119.0  =>  128.790276022
27 219.0  =>  285.340893538
28 316.0  =>  312.359415235
29 225.0  =>  231.760298742
30 261.0  =>  286.421096868
31 194.0  =>  116.215574495
32 225.0  =>  225.364442679
33 327.0  =>  337.289620555
34 275.0  =>  335.203847862
35 322.0  =>  305.299657706
36 327.0  =>  359.49868525
37 297.0  =>  352.606701615
38 239.0  =>  281.663751769
39 325.0  =>  282.476091894
40 241.0  =>  248.231366952
41 252.0  =>  281.49293671
42 264.0  =>  387.835796598
43 238.0  =>  214.866168576
44 291.0  =>  364.689630089
45 233.0  =>  260.065700252
46 224.0  =>  309.475558878
47 333.0  =>  287.212205414
48 355.0  =>  407.801117551
49 255.0  =>  281.220876868
(13.971016437778141, 15.035585791211346)
Step= 2
