Step= 0
(-  (-  (cos  (+  (+  (^2  X5) (-  X1 X5)) (-  (sin  X4) (sin  X2)))) (-  (-  (sin  (sin  X2)) (+  (cos  X1) (+  X5 X1))) (+  (/2  (cos  X1)) (*  (cos  X1) (cos  X2))))) (-  (sin  (*  (+  (*  X1 X3) (/2  X1)) (/2  (-  X4 X3)))) (^2  (cos  (+  (sin  X2) (cos  X3))))))
Best solution:  [11, 28, 39, 25, 21, 22, 9, 23, 30, 35, 43, 20, 8, 12, 18, 14, 47, 37, 42, 6, 44, 24, 38, 40, 45, 31, 36, 15, 27, 1, 48, 5, 2, 3, 17, 0, 41, 16, 32, 34, 29, 13, 4, 7, 10]
0 220.0  =>  222.961642363
1 252.0  =>  204.022023221
2 347.0  =>  271.276366983
3 316.0  =>  243.627350064
4 308.0  =>  299.796103314
5 275.0  =>  242.105304172
6 283.0  =>  266.85868472
7 191.0  =>  188.020997771
8 197.0  =>  240.211609894
9 263.0  =>  269.277115292
10 250.0  =>  312.400252448
11 297.0  =>  261.586037177
12 285.0  =>  282.412396183
13 305.0  =>  282.00013355
14 208.0  =>  189.59021609
15 296.0  =>  276.67433939
16 244.0  =>  195.494787692
17 316.0  =>  280.982776002
18 291.0  =>  203.619524913
19 288.0  =>  294.741876407
20 339.0  =>  197.448142115
21 324.0  =>  266.449128634
22 305.0  =>  278.236614268
23 308.0  =>  294.273252265
24 305.0  =>  233.051366695
25 352.0  =>  274.804146756
26 119.0  =>  149.064691402
27 219.0  =>  258.519610891
28 316.0  =>  265.506942798
29 225.0  =>  219.425851924
30 261.0  =>  238.390204528
31 194.0  =>  131.957184657
32 225.0  =>  208.092478762
33 327.0  =>  282.814028333
34 275.0  =>  286.261288645
35 322.0  =>  268.750411423
36 327.0  =>  300.404693544
37 297.0  =>  303.387030527
38 239.0  =>  251.691728497
39 325.0  =>  248.797845503
40 241.0  =>  226.760718987
41 252.0  =>  245.448731422
42 264.0  =>  287.084301941
43 238.0  =>  206.18604525
44 291.0  =>  310.199427712
45 233.0  =>  246.651120527
46 224.0  =>  268.08608419
47 333.0  =>  255.733693489
48 355.0  =>  333.407784679
49 255.0  =>  242.592255539
(13.132995030551664, 12.673013096330049)
Step= 1
(-  (/2  (-  (cos  (-  (sin  X3) (+  X2 X1))) (^2  (/2  (cos  X2))))) (+  (sin  (+  (sin  (/2  X4)) (cos  (^2  X3)))) (+  (*  (+  (sin  X5) (sin  X2)) (sin  (^2  X2))) (-  (cos  (^2  X1)) (+  (+  X5 X4) (/2  X5))))))
Best solution:  [46, 40, 34, 41, 31, 36, 47, 20, 12, 26, 39, 23, 33, 19, 44, 22, 29, 8, 45, 11, 28, 48, 5, 10, 4, 17, 13, 43, 15, 42, 16, 7, 14, 3, 0, 35, 27, 2, 37, 32, 30, 38, 1, 21, 6]
0 220.0  =>  265.564112388
1 252.0  =>  243.207444064
2 347.0  =>  341.899994812
3 316.0  =>  309.584447739
4 308.0  =>  384.33457998
5 275.0  =>  296.016308784
6 283.0  =>  344.086887202
7 191.0  =>  195.500591364
8 197.0  =>  284.066006518
9 263.0  =>  316.370968376
10 250.0  =>  391.887377319
11 297.0  =>  324.85001656
12 285.0  =>  345.022882596
13 305.0  =>  338.500690961
14 208.0  =>  185.717599918
15 296.0  =>  347.818410748
16 244.0  =>  244.36176196
17 316.0  =>  359.678418994
18 291.0  =>  233.750492943
19 288.0  =>  369.799865961
20 339.0  =>  226.690709261
21 324.0  =>  326.977820691
22 305.0  =>  341.280100466
23 308.0  =>  371.427282145
24 305.0  =>  287.62653789
25 352.0  =>  340.548582434
26 119.0  =>  153.373250302
27 219.0  =>  309.439507862
28 316.0  =>  341.920544973
29 225.0  =>  260.48335282
30 261.0  =>  332.326950782
31 194.0  =>  170.983446069
32 225.0  =>  263.204523493
33 327.0  =>  371.807974414
34 275.0  =>  362.690055405
35 322.0  =>  331.295067723
36 327.0  =>  374.508615761
37 297.0  =>  368.669490831
38 239.0  =>  309.181732901
39 325.0  =>  312.998032951
40 241.0  =>  282.220482826
41 252.0  =>  311.802399774
42 264.0  =>  418.420764877
43 238.0  =>  251.689804267
44 291.0  =>  389.411698083
45 233.0  =>  277.231563629
46 224.0  =>  339.485985309
47 333.0  =>  310.38658488
48 355.0  =>  441.167202553
49 255.0  =>  321.2515251
(14.979392987876134, 18.989785069961609)
Step= 2
(+  (+  (+  (cos  (/2  (cos  X1))) (/2  (+  (+  X5 X4) (+  X5 X2)))) (*  (+  (sin  (sin  X1)) (sin  (*  X5 X5))) (cos  (cos  (*  X3 X1))))) (cos  (sin  (*  (-  (/2  X3) (cos  X1)) (*  (/2  X2) (-  X2 X3))))))
Best solution:  [21, 7, 17, 3, 0, 32, 48, 45, 28, 43, 41, 27, 6, 25, 5, 35, 30, 34, 12, 4, 22, 16, 26, 36, 19, 38, 24, 42, 23, 8, 1, 2, 31, 9, 37, 10, 40, 47, 39, 13, 46, 11, 18, 15, 14]
0 220.0  =>  187.089129095
1 252.0  =>  171.636172909
2 347.0  =>  240.451924668
3 316.0  =>  218.727408945
4 308.0  =>  268.477056522
5 275.0  =>  211.867956112
6 283.0  =>  242.433751193
7 191.0  =>  134.816206884
8 197.0  =>  195.257848508
9 263.0  =>  217.313720322
10 250.0  =>  267.826695267
11 297.0  =>  228.589229069
12 285.0  =>  241.93560033
13 305.0  =>  237.289594373
14 208.0  =>  128.947880096
15 296.0  =>  241.661857841
16 244.0  =>  179.336168207
17 316.0  =>  255.122040335
18 291.0  =>  163.655862589
19 288.0  =>  258.486647985
20 339.0  =>  161.817289949
21 324.0  =>  224.539364296
22 305.0  =>  234.896437054
23 308.0  =>  256.160223692
24 305.0  =>  196.5499472
25 352.0  =>  234.371758958
26 119.0  =>  114.40066919
27 219.0  =>  215.896722632
28 316.0  =>  239.589164301
29 225.0  =>  184.619402147
30 261.0  =>  237.639833524
31 194.0  =>  139.856043451
32 225.0  =>  188.217226016
33 327.0  =>  259.339451711
34 275.0  =>  254.915676083
35 322.0  =>  230.736998824
36 327.0  =>  251.61778828
37 297.0  =>  252.345006033
38 239.0  =>  218.017945869
39 325.0  =>  221.212060918
40 241.0  =>  202.309452045
41 252.0  =>  219.301953922
42 264.0  =>  285.697846156
43 238.0  =>  187.775584038
44 291.0  =>  267.872437606
45 233.0  =>  186.006234534
46 224.0  =>  237.959452107
47 333.0  =>  216.005857353
48 355.0  =>  304.600957835
49 255.0  =>  230.926224524
(21.65856598177551, 20.174548495867153)
Step= 3
(-  (cos  (cos  (+  (^2  (+  X2 X1)) (sin  (*  X3 X1))))) (-  (+  (sin  (sin  (-  X5 X5))) (cos  (^2  (^2  X1)))) (+  (+  (+  (cos  X3) (+  X2 X5)) (/2  (cos  X4))) (sin  (^2  (/2  X2))))))
Best solution:  [23, 0, 35, 5, 16, 36, 24, 27, 28, 4, 6, 37, 7, 21, 43, 17, 40, 38, 25, 14, 22, 3, 44, 2, 1, 11, 15, 47, 31, 20, 48, 34, 29, 9, 45, 33, 39, 46, 19, 10, 30, 41, 42, 8, 32]
0 220.0  =>  190.029388725
1 252.0  =>  176.519355989
2 347.0  =>  240.268272475
3 316.0  =>  224.740767216
4 308.0  =>  271.184242273
5 275.0  =>  215.007173392
6 283.0  =>  251.089296066
7 191.0  =>  135.102360859
8 197.0  =>  196.882331017
9 263.0  =>  216.26574317
10 250.0  =>  269.649956121
11 297.0  =>  237.790919776
12 285.0  =>  248.859712105
13 305.0  =>  244.662156409
14 208.0  =>  130.168788937
15 296.0  =>  244.155146043
16 244.0  =>  191.713815716
17 316.0  =>  264.986498222
18 291.0  =>  166.262126047
19 288.0  =>  262.410322307
20 339.0  =>  166.615897408
21 324.0  =>  221.513027447
22 305.0  =>  232.59830319
23 308.0  =>  252.610188978
24 305.0  =>  194.598881871
25 352.0  =>  234.731201277
26 119.0  =>  121.115731838
27 219.0  =>  218.519778401
28 316.0  =>  245.114194377
29 225.0  =>  193.698619899
30 261.0  =>  248.934523939
31 194.0  =>  155.711551713
32 225.0  =>  192.112421499
33 327.0  =>  259.458247913
34 275.0  =>  258.25660938
35 322.0  =>  238.405564687
36 327.0  =>  246.024501659
37 297.0  =>  249.226124411
38 239.0  =>  223.402797351
39 325.0  =>  228.031526369
40 241.0  =>  207.082994957
41 252.0  =>  226.047816614
42 264.0  =>  283.214543365
43 238.0  =>  201.794998285
44 291.0  =>  267.63354718
45 233.0  =>  182.588290526
46 224.0  =>  239.907603944
47 333.0  =>  215.947636028
48 355.0  =>  308.607926515
49 255.0  =>  235.718992206
(16.933611306018996, 18.804571468994833)
