Step= 0
(+  (-  (cos  (/2  (-  (cos  X2) (-  X3 X2)))) (-  (cos  (*  (*  X3 X1) (+  X4 X5))) (-  (-  (+  X3 X5) (/2  X3)) (^2  (cos  X5))))) (/2  (cos  (/2  (cos  (*  X1 X2))))))
Best solution:  [14, 18, 23, 40, 25, 38, 35, 26, 43, 8, 4, 24, 16, 48, 29, 47, 12, 2, 6, 31, 17, 34, 3, 0, 45, 30, 22, 28, 33, 37, 44, 20, 5, 32, 19, 21, 7, 39, 13, 27, 9, 36, 15, 42, 41, 10, 11, 46, 1, 49]
0 220.0  =>  175.250758085
1 252.0  =>  157.421221196
2 347.0  =>  225.861014174
3 316.0  =>  201.970876978
4 308.0  =>  255.802997445
5 275.0  =>  195.394447237
6 283.0  =>  227.486627384
7 191.0  =>  128.83012457
8 197.0  =>  187.664067537
9 263.0  =>  211.228870771
10 250.0  =>  260.320343336
11 297.0  =>  217.53226207
12 285.0  =>  231.64711314
13 305.0  =>  227.452278162
14 208.0  =>  123.732425614
15 296.0  =>  229.794731068
16 244.0  =>  160.552319715
17 316.0  =>  238.06654142
18 291.0  =>  149.26689118
19 288.0  =>  240.50553237
20 339.0  =>  143.625829581
21 324.0  =>  210.787432342
22 305.0  =>  223.125109767
23 308.0  =>  242.415720843
24 305.0  =>  179.588929567
25 352.0  =>  218.683919608
26 119.0  =>  102.071138428
27 219.0  =>  206.104012688
28 316.0  =>  225.336192978
29 225.0  =>  172.257952148
30 261.0  =>  214.376704459
31 194.0  =>  106.897267888
32 225.0  =>  169.132144522
33 327.0  =>  242.369791666
34 275.0  =>  234.710110723
35 322.0  =>  215.300986437
36 327.0  =>  239.897067605
37 297.0  =>  236.436362393
38 239.0  =>  198.314219474
39 325.0  =>  200.737289287
40 241.0  =>  183.467251431
41 252.0  =>  206.850245934
42 264.0  =>  272.963486909
43 238.0  =>  177.335330739
44 291.0  =>  255.018580548
45 233.0  =>  180.240328833
46 224.0  =>  217.695691345
47 333.0  =>  200.594038535
48 355.0  =>  286.173744293
49 255.0  =>  207.908034358
(0, 25.098644173145953)
Step= 1
(-  (cos  (^2  (*  (sin  (*  X2 X2)) (-  (-  X4 X1) (+  X5 X4))))) (+  (-  (sin  (cos  (*  X5 X1))) (+  (+  (+  X5 X1) (/2  X1)) (^2  (sin  X2)))) (*  (*  (/2  (/2  X2)) (cos  (+  X1 X3))) (*  (-  (+  X3 X2) (*  X4 X2)) (-  (/2  X5) (/2  X5))))))
Best solution:  [46, 42, 32, 28, 7, 11, 35, 16, 41, 17, 45, 25, 18, 43, 27, 34, 22, 47, 40, 38, 30, 36, 13, 9, 4, 33, 2, 0, 26, 12, 5, 31, 29, 20, 15, 10, 19, 1, 44, 48, 37, 39, 3, 24, 6, 14, 23, 21, 8, 49]
0 220.0  =>  250.659137537
1 252.0  =>  233.256638541
2 347.0  =>  297.755401316
3 316.0  =>  270.927383447
4 308.0  =>  327.422559021
5 275.0  =>  267.143619428
6 283.0  =>  292.930460737
7 191.0  =>  216.724976525
8 197.0  =>  272.880769574
9 263.0  =>  298.751352224
10 250.0  =>  344.666274314
11 297.0  =>  292.748310208
12 285.0  =>  312.642299944
13 305.0  =>  309.713952381
14 208.0  =>  220.560821354
15 296.0  =>  301.150334048
16 244.0  =>  218.98857545
17 316.0  =>  303.137991257
18 291.0  =>  235.397898049
19 288.0  =>  327.057843163
20 339.0  =>  224.102603442
21 324.0  =>  294.554760903
22 305.0  =>  310.012953311
23 308.0  =>  322.050659424
24 305.0  =>  259.839326816
25 352.0  =>  301.380461751
26 119.0  =>  174.685080984
27 219.0  =>  286.985207402
28 316.0  =>  291.888042832
29 225.0  =>  242.064370092
30 261.0  =>  254.15397905
31 194.0  =>  143.490326478
32 225.0  =>  230.513659697
33 327.0  =>  304.415828284
34 275.0  =>  312.188510403
35 322.0  =>  295.833758849
36 327.0  =>  335.410331554
37 297.0  =>  336.375262642
38 239.0  =>  277.552649705
39 325.0  =>  273.926332181
40 241.0  =>  246.512306496
41 252.0  =>  267.92713765
42 264.0  =>  300.860981177
43 238.0  =>  226.215353881
44 291.0  =>  341.626883227
45 233.0  =>  277.167955227
46 224.0  =>  296.25617251
47 333.0  =>  286.03123251
48 355.0  =>  357.469639492
49 255.0  =>  259.904602903
(0, 12.500309307674426)
Step= 2
(-  (+  (+  (*  (cos  (cos  X4)) (/2  (/2  X4))) (^2  (/2  (cos  X3)))) (sin  (sin  (^2  (-  X4 X4))))) (+  (cos  (cos  (*  (sin  X2) (-  X3 X5)))) (-  (-  (-  (+  X2 X4) (+  X1 X5)) (cos  (cos  X2))) (/2  (+  (*  X3 X4) (cos  X1))))))
Best solution:  [40, 14, 7, 33, 43, 34, 3, 30, 29, 21, 27, 32, 41, 24, 4, 35, 0, 1, 45, 2, 13, 37, 47, 9, 16, 36, 39, 38, 20, 31, 15, 10, 48, 26, 42, 22, 23, 19, 6, 17, 18, 11, 25, 5, 28, 46, 8, 44, 12, 49]
0 220.0  =>  252.990549039
1 252.0  =>  230.685164995
2 347.0  =>  309.54822448
3 316.0  =>  274.221611589
4 308.0  =>  331.472137066
5 275.0  =>  267.182914331
6 283.0  =>  301.700357325
7 191.0  =>  234.070566063
8 197.0  =>  274.629704
9 263.0  =>  320.16099762
10 250.0  =>  365.538250715
11 297.0  =>  278.31891206
12 285.0  =>  298.718562665
13 305.0  =>  281.407582119
14 208.0  =>  205.007886987
15 296.0  =>  299.658760292
16 244.0  =>  212.857514529
17 316.0  =>  294.905550215
18 291.0  =>  213.002551928
19 288.0  =>  303.174503436
20 339.0  =>  203.024010647
21 324.0  =>  301.84998123
22 305.0  =>  318.720766628
23 308.0  =>  333.036366244
24 305.0  =>  279.692264257
25 352.0  =>  310.382290624
26 119.0  =>  173.46488146
27 219.0  =>  293.578786884
28 316.0  =>  303.288747592
29 225.0  =>  249.649104912
30 261.0  =>  260.398716265
31 194.0  =>  110.945568037
32 225.0  =>  245.949391832
33 327.0  =>  333.453822138
34 275.0  =>  292.393703684
35 322.0  =>  275.611746573
36 327.0  =>  333.902960964
37 297.0  =>  319.980210642
38 239.0  =>  252.143707695
39 325.0  =>  252.509022547
40 241.0  =>  254.762082072
41 252.0  =>  303.999095054
42 264.0  =>  592.179421086
43 238.0  =>  192.786739755
44 291.0  =>  341.865221376
45 233.0  =>  281.372476835
46 224.0  =>  282.769129732
47 333.0  =>  266.564812527
48 355.0  =>  353.506134851
49 255.0  =>  259.94551059
(0, 16.22230786291361)
Step= 3
(+  (+  (-  (-  (+  (-  X1 X3) (sin  X1)) (-  (sin  X1) (-  X2 X4))) (-  (/2  (/2  X2)) (+  (+  X3 X3) (+  X5 X4)))) (^2  (-  (/2  (/2  X2)) (sin  (/2  X4))))) (^2  (cos  (+  (/2  (^2  X3)) (cos  (^2  X1))))))
Best solution:  [19, 0, 5, 40, 32, 28, 44, 12, 15, 3, 39, 2, 18, 22, 30, 1, 25, 45, 4, 7, 21, 36, 23, 9, 13, 27, 48, 26, 14, 24, 37, 34, 6, 41, 8, 43, 10, 16, 47, 11, 17, 33, 20, 29, 31, 35, 38, 46, 42, 49]
0 220.0  =>  276.577692078
1 252.0  =>  263.141867373
2 347.0  =>  321.77922237
3 316.0  =>  316.773549119
4 308.0  =>  357.446984795
5 275.0  =>  302.726044696
6 283.0  =>  344.695089422
7 191.0  =>  216.940942653
8 197.0  =>  286.323307368
9 263.0  =>  301.616595509
10 250.0  =>  348.008207506
11 297.0  =>  348.226420223
12 285.0  =>  340.675433117
13 305.0  =>  335.817954509
14 208.0  =>  216.579925626
